DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Interaction_Explanation,DrugA_ID,DrugA_SMILES,DrugA_Formula,DrugB_ID,DrugB_SMILES,DrugB_Formula
DDInter1876,trimipramine,DDInter650,ephedrine,Major,"Major: Taking trimipramine with ephedrine can cause serious side effects such as high blood pressure, irregular heartbeat, and seizures.",DB00726,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,C20H26N2,DB01364,CN[C@@H](C)[C@H](O)C1=CC=CC=C1,C10H15NO
DDInter1400,pazopanib,DDInter1032,lefamulin,Major,"Major: Taking pazopanib together with lefamulin can cause major side effects. This is because pazopanib increases the amount of lefamulin in your body. However, this interaction has not been studied directly.",DB06589,CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1,C21H23N7O2S,DB12825,[H][C@@]12C(=O)CC[C@]11CCC(C)[C@@]2(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]1C)OC(=O)CS[C@@H]1CC[C@@H](N)C[C@H]1O,C28H45NO5S
DDInter1607,ritonavir,DDInter7,abemaciclib,Major,"Major: When ritonavir is taken together with abemaciclib, there is an increased risk of side effects. This is because ritonavir can increase the levels of abemaciclib in your body. It is important to talk to your doctor about whether this interaction may be harmful for you.",DB00503,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,C37H48N6O5S2,DB12001,CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1,C27H32F2N8
DDInter438,conivaptan,DDInter997,ivacaftor,Major,"Major: When conivaptan is given together with ivacaftor, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. In this case, the combination of these drugs may cause dehydration.",DB00872,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,C32H26N4O2,DB08820,CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C,C24H28N2O3
DDInter127,asparaginase escherichia coli,DDInter1894,typhoid vaccine (live),Major,Major: The asparaginase can reduce the number of white blood cells in your body. This can make you more likely to get an infection. The typhoid vaccine contains live viruses which can cause problems for people who have low numbers of white blood cells.,,,,,,
DDInter1421,pentazocine,DDInter361,chlorphenesin,Major,"Major: Taking chlorphenesin while taking pentazocine can cause severe drowsiness, confusion, hallucinations, and other mental effects. This interaction is due to the fact that chlorphenesin increases the effect of pentazocine.",DB00652,CC1C2CC3=C(C=C(O)C=C3)C1(C)CCN2CC=C(C)C,C19H27NO,DB00856,OCC(O)COC1=CC=C(Cl)C=C1,C9H11ClO3
DDInter1707,spironolactone,DDInter1498,potassium citrate,Major,"Major: When taking both spironolactone and potassium citrate together, there is an increased risk of hyperkalemia (high blood potassium levels) compared to taking either drug alone. This is because spironolactone can increase the amount of potassium in your body, while potassium citrate can decrease the amount of potassium in your body. Therefore, when taken together, they may cancel each other out, leading to normal potassium levels. However, this effect may not be seen in all patients, especially those who have kidney problems.",DB00421,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,C24H32O4S,DB09125,[K+].[K+].[K+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,C6H5K3O7
DDInter1462,physostigmine,DDInter252,bupropion,Major,Major: Physostigmine can cause major problems when taken together with bupropion. This problem may occur because physostigmine increases the levels of bupropion in your body.,DB00981,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C,C15H21N3O2,DB01156,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,C13H18ClNO
DDInter649,enzalutamide,DDInter1352,osimertinib,Major,"Major: Enzalutamide and osimertinib should not be used together because they can increase the risk of bleeding. This is because enzalutamide can increase the effects of osimertinib, which also increases the risk of bleeding.",DB08899,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,C21H16F4N4O2S,DB09330,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C,C28H33N7O2
DDInter554,digoxin,DDInter276,calcium gluconate,Major,Major: Digoxin is used to treat heart failure and abnormal heart rhythms. Calcium gluconate is used to treat hypocalcemia (low levels of calcium in the blood) and hyperkalemia (high levels of potassium in the blood). Taking digoxin together with calcium gluconate can increase the risk of serious side effects on the heart such as ventricular tachycardia (fast heart rate). It is important to be aware of this potential interaction when taking these medications together.,DB00390,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,C41H64O14,DB11126,[Ca++].[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O,C12H22CaO14
DDInter108,apixaban,DDInter1484,plicamycin,Major,Major: The combination of apixaban and plicamycin should be avoided because it can cause major side effects. This interaction may increase the risk of bleeding.,DB06605,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,C25H25N5O4,DB06810,CO[C@@H]([C@@H]1CC2=CC3=CC(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1)C(=O)[C@@H](O)[C@@H](C)O,C52H76O24
DDInter900,ibuprofen,DDInter108,apixaban,Major,Major: Taking ibuprofen with apixaban can cause major bleeding. This may happen because ibuprofen can increase the effects of apixaban.,DB01050,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,C13H18O2,DB06605,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,C25H25N5O4
DDInter1951,warfarin,DDInter699,etodolac,Major,Major: Taking warfarin together with etodolac can cause major bleeding. This may happen because etodolac increases the effects of warfarin.,DB00682,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,C19H16O4,DB00749,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,C17H21NO3
DDInter293,carbamazepine,DDInter1926,venetoclax,Major,"Major: When carbamazepine is taken together with venetoclax, there is an increased risk of side effects. This interaction is major.",DB00564,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,C15H12N2O,DB11581,CC1(C)CCC(CN2CCN(CC2)C2=CC=C(C(=O)NS(=O)(=O)C3=CC=C(NCC4CCOCC4)C(=C3)[N+]([O-])=O)C(OC3=CN=C4NC=CC4=C3)=C2)=C(C1)C1=CC=C(Cl)C=C1,C45H50ClN7O7S
DDInter1744,tamoxifen,DDInter1640,saquinavir,Major,"Major: When tamoxifen is taken together with saquinavir, tamoxifen levels in the blood can go up. This may increase the risk of side effects of tamoxifen.",DB00675,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,C26H29NO,DB01232,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC3=C(C=CC=C3)C=C1)[C@@H](C2)C(=O)NC(C)(C)C,C38H50N6O5
DDInter1913,valproic acid,DDInter1771,teriflunomide,Major,"Major: Valproic acid can increase levels of teriflunomide in your body. This may cause side effects such as lymphopenia, leukopenia, thrombocytopenia, and liver enzyme elevation.",DB00313,CCCC(CCC)C(O)=O,C8H16O2,DB08880,C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,C12H9F3N2O2
DDInter856,heparin,DDInter969,ipilimumab,Major,Major: Heparin and ipilimumab can cause major drug interactions. Heparin can increase the risk of bleeding when combined with ipilimumab. This interaction may be due to heparin’s ability to interfere with blood clotting.,DB01109,,,,,
DDInter687,etanercept,DDInter1735,tacrolimus,Major,"Major: Etanercept can increase levels of tacrolimus in your body. This may cause side effects such as high blood sugar, increased risk of infection, and kidney problems. Be alert for these symptoms. Consult your doctor or pharmacist before taking etanercept with tacrolimus.",,,,DB00864,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,C44H69NO12
DDInter1837,toremifene,DDInter904,idarubicin,Major,"Major: Toremifene and idarubicin should not be used together because they can cause severe side effects. Toremifene decreases the activity of an enzyme called CYP3A4, which helps break down idarubicin. This causes idarubicin levels to go up, increasing the risk of side effects.",DB00539,CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,C26H28ClNO,DB01177,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O,C26H27NO9
DDInter1616,romidepsin,DDInter448,crizotinib,Major,"Major: When romidepsin is given together with crizotinib, there is an increased chance of side effects. This is because romidepsin can increase the level of crizotinib in your body. It is important to closely monitor patients for side effects when these drugs are used together.",DB06176,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,C24H36N4O6S2,DB08865,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,C21H22Cl2FN5O
DDInter1521,primidone,DDInter1840,trabectedin,Major,"Major: When primidone is given together with trabectedin, there is a major drug interaction. This means that the combination of these two drugs can cause serious side effects or make the drugs less effective. The interaction may be caused by changes in how the body handles the drugs. It is not clear exactly how this interaction happens.",DB00794,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,C12H14N2O2,DB05109,[H][C@@]12[C@@H]3SC[C@]4(NCCC5=C4C=C(OC)C(O)=C5)C(=O)OC[C@H](N1[C@@H](O)[C@@H]1CC4=CC(C)=C(OC)C(O)=C4[C@H]2N1C)C1=C2OCOC2=C(C)C(OC(C)=O)=C31,C39H43N3O11S
DDInter392,cladribine,DDInter1678,sirolimus,Major,"Major: When cladribine is taken together with sirolimus, there is an increased risk of side effects. This interaction is major.",DB00242,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,C10H12ClN5O3,DB00877,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,C51H79NO13
DDInter1224,minocycline,DDInter1179,methoxyflurane,Major,"Major: When methoxyflurane is used together with minocycline, there is an increased risk of side effects. This interaction is major.",DB01017,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,C23H27N3O7,DB01028,COC(F)(F)C(Cl)Cl,C3H4Cl2F2O
DDInter1824,tocilizumab,DDInter1953,yellow fever vaccine,Major,Major: The yellow fever vaccine can cause the immune system to attack the yellow fever virus. Tocilizumab can affect the immune system. Taking both drugs together may increase the risk of the immune system attacking the yellow fever virus. This is called an allergic reaction.,,,,,,
DDInter737,fingolimod,DDInter232,brexucabtagene autoleucel,Major,Major: Fingolimod can cause a rare but serious side effect called progressive multifocal leukoencephalopathy (PML) when combined with another medicine called brexucabtagene autoleucel. PML is a brain disease caused by a virus. It can cause damage to the brain and nervous system.,DB08868,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,C19H33NO2,,,
DDInter1189,methylphenidate,DDInter252,bupropion,Major,"Major: When methylphenidate and bupropion are taken together, they can cause serious side effects such as seizures. This interaction is very likely to occur because methylphenidate and bupropion are both metabolized by the same enzyme in the liver.",DB00422,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,C14H19NO2,DB01156,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,C13H18ClNO
DDInter462,dabrafenib,DDInter1415,pemigatinib,Major,Major: Dabrafenib and pemigatinib should not be used together because they can cause severe liver damage. This interaction is very likely to occur because dabrafenib and pemigatinib both affect the same pathway in the body.,DB08912,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,C23H20F3N5O2S2,DB15102,CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F,C24H27F2N5O4
DDInter1967,ziprasidone,DDInter1382,palonosetron,Major,"Major: When ziprasidone is taken together with palonosetron, there is an increased risk of QT interval prolongation. This is a condition where the heart beats slowly, which can lead to dangerous side effects such as ventricular tachycardia and sudden death.",DB00246,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,C21H21ClN4OS,DB00377,[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2,C19H24N2O
DDInter1524,procainamide,DDInter1880,triptorelin,Major,"Major: When procainamide is taken together with triptorelin, there is an increased risk of bleeding. This is because procainamide can increase the effects of triptorelin on blood clotting.",DB01035,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,C13H21N3O,DB06825,CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,C64H82N18O13
DDInter1528,procyclidine,DDInter1498,potassium citrate,Major,Major: Taking procyclidine together with potassium citrate can cause serious problems. Procyclidine may increase the levels of potassium citrate in your body. This can be dangerous for people who have certain conditions such as kidney disease.,DB00387,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,C19H29NO,DB09125,[K+].[K+].[K+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,C6H5K3O7
DDInter1491,pomalidomide,DDInter1953,yellow fever vaccine,Major,Major: The drug pomalidomide can cause serious skin reactions when used together with yellow fever vaccine. This combination should be avoided.,DB08910,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,C13H11N3O4,,,
DDInter513,dexamethasone,DDInter960,iohexol,Major,"Major: When dexamethasone is given together with iohexol, there is a major increase in the risk of having an adverse reaction. This can be caused by the fact that iohexol may cause changes in the levels of potassium in your body, which can be affected by dexamethasone.",DB01234,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C22H29FO5,DB01362,CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,C19H26I3N3O9
DDInter1606,ritodrine,DDInter340,ceritinib,Major,"Major: When taking both drugs together, there is a major drug interaction between ritodrine and ceritinib. This means that the combination of these two drugs can cause serious side effects. The exact mechanism for this interaction is unknown.",DB00867,C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,C17H21NO3,DB09063,CC(C)OC1=C(NC2=NC=C(Cl)C(N2)=NC2=CC=CC=C2S(=O)(=O)C(C)C)C=C(C)C(=C1)C1CCNCC1,C28H36ClN5O3S
DDInter1791,theophylline,DDInter488,deferasirox,Major,Major: Taking deferasirox with theophylline can cause major side effects. Deferasirox decreases the amount of theophylline in your body by increasing how fast your body breaks down theophylline. This can lead to serious side effects such as seizures.,DB00277,CN1C2=C(NC=N2)C(=O)N(C)C1=O,C7H8N4O2,DB01609,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O,C21H15N3O4
DDInter1708,st. john's wort,DDInter1258,naldemedine,Major,Major: St. John’s Wort can make naldemedine less effective. This may be because St. John’s Wort reduces the amount of naldemedine in your body.,,,,DB11691,[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CC6)CC[C@@]14[C@@]5(O)CC(C(=O)NC(C)(C)C1=NC(=NO1)C1=CC=CC=C1)=C2O)=CC=C3O,C32H34N4O6
DDInter1277,neomycin,DDInter967,ioxilan,Major,"Major: When neomycin is given together with ioxilan, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. The exact reason for this interaction is unknown.",DB00994,,,DB09135,CC(=O)N(CC(O)CO)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCCO)=C1I,C18H24I3N3O8
DDInter1755,telaprevir,DDInter766,fluticasone,Major,Major: Telaprevir lowers fluticasone levels by increasing its metabolism. This can reduce fluticasone’s effectiveness.,DB05521,[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1,C36H53N7O6,DB13867,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C22H27F3O4S
DDInter1704,sotalol,DDInter8,abiraterone,Major,"Major: When sotalol is combined with abiraterone, there is an increased risk of serious heart problems. This interaction is major. It is not clear how this interaction happens.",DB00489,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,C12H20N2O3S,DB05812,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,C24H31NO
DDInter1247,moxifloxacin,DDInter1626,rucaparib,Major,Major: Taking rucaparib together with moxifloxacin can cause serious side effects such as seizures. This interaction is major because it can be life threatening.,DB00218,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,C21H24FN3O4,DB12332,CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3,C19H18FN3O
DDInter1705,sparfloxacin,DDInter893,hydroxychloroquine,Major,"Major: When taking hydroxychloroquine together with sparfloxacin, there is an increased risk of side effects such as nausea, vomiting, diarrhea, abdominal pain, and fever. This interaction may be due to the fact that sparfloxacin inhibits the metabolism of hydroxychloroquine by the liver enzyme CYP450.",DB01208,C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O,C19H22F2N4O3,DB01611,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,C18H26ClN3O
DDInter743,fluconazole,DDInter648,entrectinib,Major,"Major: Fluconazole is an antifungal medication used to treat fungal infections. It works by blocking the action of lanosterol 14 alpha-demethylase, which is needed for the growth of fungi. Entrectinib is a cancer medicine used to treat solid tumors such as lung cancer. It works by blocking the action of the TRK proteins, which are needed for the growth of cancer cells. When these two drugs are taken together, they can interact in a way that may decrease how well fluconazole works. This interaction has",DB00196,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,C13H12F2N6O,DB11986,CN1CCN(CC1)C1=CC=C(C(=O)NC2=NNC3=CC=C(CC4=CC(F)=CC(F)=C4)C=C23)C(NC2CCOCC2)=C1,C31H34F2N6O2
DDInter852,halofantrine,DDInter649,enzalutamide,Major,Major: Taking halofantrine together with enzalutamide can cause serious heart problems. This interaction is very likely to occur because halofantrine slows down the way the body gets rid of enzalutamide. It is not clear how this interaction works or why it causes heart problems.,DB01218,CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F,C26H30Cl2F3NO,DB08899,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,C21H16F4N4O2S
DDInter1520,primaquine,DDInter1000,ivosidenib,Major,"Major: Taking primaquine together with ivosidenib can cause major side effects. Primaquine may increase levels of a chemical called phosphorylated troponin I. This chemical can be harmful at high levels. Ivosidenib may decrease levels of another chemical called platelet count. This chemical is also important for health. When taken together, these drugs may decrease levels of both chemicals. This can be dangerous.",DB01087,COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1,C15H21N3O,DB14568,[H][C@@](N(C(=O)[C@]1([H])CCC(=O)N1C1=NC=CC(=C1)C#N)C1=CC(F)=CN=C1)(C(=O)NC1CC(F)(F)C1)C1=C(Cl)C=CC=C1,C28H22ClF3N6O3
DDInter1008,ketoconazole,DDInter1111,macitentan,Major,"Major: When ketoconazole is taken together with macitentan, there is an increased risk of swelling due to fluid buildup in the body. This is because ketoconazole can increase the levels of macitentan in the blood. It is important to monitor for signs of swelling when taking these medications together.",DB01026,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,C26H28Cl2N4O4,DB08932,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1,C19H20Br2N6O4S
