DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Interaction_Explanation
DDInter900,Ibuprofen,DDInter108,Apixaban,Major,Major: Taking ibuprofen with apixaban can cause major bleeding. This may happen because ibuprofen can increase the effects of apixaban.
DDInter1951,Warfarin,DDInter699,Etodolac,Major,Major: Taking warfarin together with etodolac can cause major bleeding. This may happen because etodolac increases the effects of warfarin.
DDInter293,Carbamazepine,DDInter1926,Venetoclax,Major,"Major: When carbamazepine is taken together with venetoclax, there is an increased risk of side effects. This interaction is major."
DDInter1744,Tamoxifen,DDInter1640,Saquinavir,Major,"Major: When tamoxifen is taken together with saquinavir, tamoxifen levels in the blood can go up. This may increase the risk of side effects of tamoxifen."
DDInter1913,Valproic acid,DDInter1771,Teriflunomide,Major,"Major: Valproic acid can increase levels of teriflunomide in your body. This may cause side effects such as lymphopenia, leukopenia, thrombocytopenia, and liver enzyme elevation."
DDInter856,Heparin,DDInter969,Ipilimumab,Major,Major: Heparin and ipilimumab can cause major drug interactions. Heparin can increase the risk of bleeding when combined with ipilimumab. This interaction may be due to heparin’s ability to interfere with blood clotting.
DDInter687,Etanercept,DDInter1735,Tacrolimus,Major,"Major: Etanercept can increase levels of tacrolimus in your body. This may cause side effects such as high blood sugar, increased risk of infection, and kidney problems. Be alert for these symptoms. Consult your doctor or pharmacist before taking etanercept with tacrolimus."
DDInter1837,Toremifene,DDInter904,Idarubicin,Major,"Major: Toremifene and idarubicin should not be used together because they can cause severe side effects. Toremifene decreases the activity of an enzyme called CYP3A4, which helps break down idarubicin. This causes idarubicin levels to go up, increasing the risk of side effects."
DDInter1616,Romidepsin,DDInter448,Crizotinib,Major,"Major: When romidepsin is given together with crizotinib, there is an increased chance of side effects. This is because romidepsin can increase the level of crizotinib in your body. It is important to closely monitor patients for side effects when these drugs are used together."
DDInter1521,Primidone,DDInter1840,Trabectedin,Major,"Major: When primidone is given together with trabectedin, there is a major drug interaction. This means that the combination of these two drugs can cause serious side effects or make the drugs less effective. The interaction may be caused by changes in how the body handles the drugs. It is not clear exactly how this interaction happens."
DDInter392,Cladribine,DDInter1678,Sirolimus,Major,"Major: When cladribine is taken together with sirolimus, there is an increased risk of side effects. This interaction is major."
DDInter1224,Minocycline,DDInter1179,Methoxyflurane,Major,"Major: When methoxyflurane is used together with minocycline, there is an increased risk of side effects. This interaction is major."
DDInter1824,Tocilizumab,DDInter1953,Yellow Fever Vaccine,Major,Major: The yellow fever vaccine can cause the immune system to attack the yellow fever virus. Tocilizumab can affect the immune system. Taking both drugs together may increase the risk of the immune system attacking the yellow fever virus. This is called an allergic reaction.
DDInter737,Fingolimod,DDInter232,Brexucabtagene autoleucel,Major,Major: Fingolimod can cause a rare but serious side effect called progressive multifocal leukoencephalopathy (PML) when combined with another medicine called brexucabtagene autoleucel. PML is a brain disease caused by a virus. It can cause damage to the brain and nervous system.
DDInter1189,Methylphenidate,DDInter252,Bupropion,Major,"Major: When methylphenidate and bupropion are taken together, they can cause serious side effects such as seizures. This interaction is very likely to occur because methylphenidate and bupropion are both metabolized by the same enzyme in the liver."
DDInter462,Dabrafenib,DDInter1415,Pemigatinib,Major,Major: Dabrafenib and pemigatinib should not be used together because they can cause severe liver damage. This interaction is very likely to occur because dabrafenib and pemigatinib both affect the same pathway in the body.
DDInter1967,Ziprasidone,DDInter1382,Palonosetron,Major,"Major: When ziprasidone is taken together with palonosetron, there is an increased risk of QT interval prolongation. This is a condition where the heart beats slowly, which can lead to dangerous side effects such as ventricular tachycardia and sudden death."
DDInter1524,Procainamide,DDInter1880,Triptorelin,Major,"Major: When procainamide is taken together with triptorelin, there is an increased risk of bleeding. This is because procainamide can increase the effects of triptorelin on blood clotting."
DDInter1528,Procyclidine,DDInter1498,Potassium citrate,Major,Major: Taking procyclidine together with potassium citrate can cause serious problems. Procyclidine may increase the levels of potassium citrate in your body. This can be dangerous for people who have certain conditions such as kidney disease.
DDInter1491,Pomalidomide,DDInter1953,Yellow Fever Vaccine,Major,Major: The drug pomalidomide can cause serious skin reactions when used together with yellow fever vaccine. This combination should be avoided.
DDInter513,Dexamethasone,DDInter960,Iohexol,Major,"Major: When dexamethasone is given together with iohexol, there is a major increase in the risk of having an adverse reaction. This can be caused by the fact that iohexol may cause changes in the levels of potassium in your body, which can be affected by dexamethasone."
DDInter1606,Ritodrine,DDInter340,Ceritinib,Major,"Major: When taking both drugs together, there is a major drug interaction between ritodrine and ceritinib. This means that the combination of these two drugs can cause serious side effects. The exact mechanism for this interaction is unknown."
DDInter1791,Theophylline,DDInter488,Deferasirox,Major,Major: Taking deferasirox with theophylline can cause major side effects. Deferasirox decreases the amount of theophylline in your body by increasing how fast your body breaks down theophylline. This can lead to serious side effects such as seizures.
DDInter1708,St. John's Wort,DDInter1258,Naldemedine,Major,Major: St. John’s Wort can make naldemedine less effective. This may be because St. John’s Wort reduces the amount of naldemedine in your body.
DDInter1277,Neomycin,DDInter967,Ioxilan,Major,"Major: When neomycin is given together with ioxilan, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. The exact reason for this interaction is unknown."
DDInter1755,Telaprevir,DDInter766,Fluticasone,Major,Major: Telaprevir lowers fluticasone levels by increasing its metabolism. This can reduce fluticasone’s effectiveness.
DDInter1704,Sotalol,DDInter8,Abiraterone,Major,"Major: When sotalol is combined with abiraterone, there is an increased risk of serious heart problems. This interaction is major. It is not clear how this interaction happens."
DDInter1247,Moxifloxacin,DDInter1626,Rucaparib,Major,Major: Taking rucaparib together with moxifloxacin can cause serious side effects such as seizures. This interaction is major because it can be life threatening.
DDInter1705,Sparfloxacin,DDInter893,Hydroxychloroquine,Major,"Major: When taking hydroxychloroquine together with sparfloxacin, there is an increased risk of side effects such as nausea, vomiting, diarrhea, abdominal pain, and fever. This interaction may be due to the fact that sparfloxacin inhibits the metabolism of hydroxychloroquine by the liver enzyme CYP450."
DDInter743,Fluconazole,DDInter648,Entrectinib,Major,"Major: Fluconazole is an antifungal medication used to treat fungal infections. It works by blocking the action of lanosterol 14 alpha-demethylase, which is needed for the growth of fungi. Entrectinib is a cancer medicine used to treat solid tumors such as lung cancer. It works by blocking the action of the TRK proteins, which are needed for the growth of cancer cells. When these two drugs are taken together, they can interact in a way that may decrease how well fluconazole works. This interaction has"
DDInter852,Halofantrine,DDInter649,Enzalutamide,Major,Major: Taking halofantrine together with enzalutamide can cause serious heart problems. This interaction is very likely to occur because halofantrine slows down the way the body gets rid of enzalutamide. It is not clear how this interaction works or why it causes heart problems.
DDInter1520,Primaquine,DDInter1000,Ivosidenib,Major,"Major: Taking primaquine together with ivosidenib can cause major side effects. Primaquine may increase levels of a chemical called phosphorylated troponin I. This chemical can be harmful at high levels. Ivosidenib may decrease levels of another chemical called platelet count. This chemical is also important for health. When taken together, these drugs may decrease levels of both chemicals. This can be dangerous."
DDInter1008,Ketoconazole,DDInter1111,Macitentan,Major,"Major: When ketoconazole is taken together with macitentan, there is an increased risk of swelling due to fluid buildup in the body. This is because ketoconazole can increase the levels of macitentan in the blood. It is important to monitor for signs of swelling when taking these medications together."
DDInter1140,Mefloquine,DDInter1640,Saquinavir,Major,Major: Taking mefloquine together with saquinavir can cause serious side effects such as seizures. This interaction is well known to occur because of how these drugs are metabolized in the body.
DDInter90,Amprenavir,DDInter884,Hydrocodone,Major,"Major: Amprenavir can increase the effects of hydrocodone. This may cause increased side effects such as drowsiness, sedation, or breathing problems. Be especially careful when taking amprenavir together with hydrocodone."
DDInter1404,Pegaspargase,DDInter1894,Typhoid vaccine (live),Major,"Major: The combination of pegaspargase and typhoid vaccine should be avoided because there is a high risk of serious harm to the patient. This interaction may cause severe side effects such as fever, rash, and inflammation of the blood vessels. It is not clear how this interaction works."
DDInter581,Dolasetron,DDInter1520,Primaquine,Major,Major: Taking primaquine together with dolasetron can cause serious harm to your body. This interaction is very likely to occur because primaquine and dolasetron are broken down by the same liver enzyme.
DDInter1352,Osimertinib,DDInter1901,Upadacitinib,Major,Major: Osimertinib is used to treat lung cancer. Upadacitinib is used to treat rheumatoid arthritis. Taking these drugs together may cause serious side effects such as liver damage.
DDInter854,Halothane,DDInter1925,Vemurafenib,Major,"Major: When vemurafenib is given together with halothane, there is an increased risk of side effects such as cardiac arrest. This interaction is major because it can be life threatening. The exact mechanism for this interaction is unknown."
DDInter1214,Midostaurin,DDInter1901,Upadacitinib,Major,Major: Taking midostaurin together with upadacitinib can cause serious side effects. This interaction is major. It is best to avoid taking these drugs together.
DDInter1024,Lapatinib,DDInter1085,Lomitapide,Major,Major: Taking lomitapide together with lapatinib can cause major side effects. This is because lomitapide increases the levels of lapatinib in your body. It is important to talk to your doctor about whether you should take these drugs together.
DDInter4,Abarelix,DDInter1376,Ozanimod,Major,Major: The combination of abarelix and ozanimod can cause major side effects. It is not clear how this interaction happens.
DDInter757,Fluorouracil,DDInter1953,Yellow Fever Vaccine,Major,Major: The yellow fever vaccine should not be given together with fluorouracil because the vaccine may not work properly.
DDInter107,Apalutamide,DDInter1949,Voxelotor,Major,Major: Apalutamide can increase the levels of voxelotor in your body. This may lead to an increased risk of side effects from voxelotor.
DDInter837,Golimumab,DDInter240,Brodalumab,Major,Major: Taking golimumab and brodalumab together can cause serious side effects. It is not clear how these drugs interact to cause this effect.
DDInter1458,Phenylpropanolamine,DDInter665,Ergotamine,Major,Major: Taking phenylpropanolamine together with ergotamine can cause severe high blood pressure. This may be dangerous for people who already have high blood pressure.
DDInter670,Erythromycin,DDInter1274,Nefazodone,Major,Major: Erythromycin can cause serious problems when taken together with nefazodone. This problem has been found in studies of people taking these drugs together. The problem may be caused because erythromycin slows down how quickly nefazodone is broken down by the body. This can lead to too much nefazodone being present. It is important to talk to your doctor or pharmacist before taking these drugs together.
DDInter1377,Paclitaxel,DDInter1680,"Smallpox (Vaccinia) Vaccine, Live",Major,"Major: The smallpox vaccine can cause skin rashes. If you take the smallpox vaccine and then take paclitaxel within 1 month, your risk of having a severe reaction like skin rash increases."
DDInter1245,Morphine (liposomal),DDInter528,Dextropropoxyphene,Major,Major: The combination of morphine (liposomal) and dextropropoxyphene can cause severe respiratory depression. This means that your breathing slows down too much.
DDInter814,Gemtuzumab ozogamicin,DDInter1085,Lomitapide,Major,Major: Gemzar can cause serious liver problems when taken together with Loop. This may be due to the fact that Gemzar is broken down by the liver and Loop affects how the liver works.
DDInter246,Budesonide,DDInter1640,Saquinavir,Major,"Major: When budesonide is taken together with saquinavir, there is an increased chance of side effects. This is because saquinavir increases the levels of budesonide in the blood. The mechanism of this interaction is well established."
DDInter385,Cisapride,DDInter1325,Ofloxacin,Major,"Major: Cisapride and ofloxacin should not be used together because cisapride can increase the levels of ofloxacin in your body. This may cause serious side effects such as seizures, mental status changes, and heart rhythm problems."
DDInter714,Fedratinib,DDInter1415,Pemigatinib,Major,"Major: Fedratinib and pemigatinib should not be used together because they can cause serious side effects. Fedratinib may increase levels of pemigatinib in your body, which could lead to bleeding and other side effects."
DDInter1358,Oxaprozin,DDInter1576,Regorafenib,Major,Major: Taking oxaprozin together with regorafenib can cause major side effects. This is because oxaprozin increases the level of regorafenib in your body. The FDA recommends avoiding this combination.
DDInter1244,Morphine,DDInter907,Iloperidone,Major,"Major: Iloperidone can increase the effects of morphine. This may cause serious side effects such as drowsiness, sedation, and respiratory depression. Patients should be closely monitored for these symptoms."
DDInter1101,Lumacaftor,DDInter1415,Pemigatinib,Major,Major: This is a major drug–drug interaction. Taking lumacaftor together with pemigatinib can cause serious side effects. The body may have problems digesting food.
DDInter1092,Lorazepam,DDInter429,Codeine,Major,"Major: Taking lorazepam together with codeine can be dangerous. It may cause drowsiness, dizziness, confusion, and impaired coordination. The combination of these drugs should be avoided unless specifically directed by a doctor."
DDInter1460,Phenytoin,DDInter1306,Nitrous acid,Major,"Major: When phenytoin is taken along with nitrous oxide, there is an increased risk of seizures. This interaction is major."
DDInter1817,Tipranavir,DDInter640,Encorafenib,Major,Major: Tipranavir decreases the levels of encorafenib in your body. This may decrease the effectiveness of encorafenib.
DDInter426,Cocaine (nasal),DDInter593,Doxepin,Major,"Major: Taking cocaine by nose while also taking doxepin can cause very serious side effects such as drowsiness, dizziness, confusion, coma, seizures, hallucinations, and even death."
DDInter907,Iloperidone,DDInter1103,Lumefantrine,Major,Major: Iloperidone can increase the side effects of lumefantrine. This combination should be avoided.
DDInter484,Dasatinib,DDInter489,Deferiprone,Major,Major: Dasatinib is used to treat certain types of cancer. Deferiprone is used to treat iron overload in people who have had a heart attack or who have had too many blood transfusions. Taking deferiprone together with dasatinib can increase the risk of serious side effects on the heart. This drug interaction is considered major because it can cause serious harm to the patient.
DDInter856,Heparin,DDInter1756,Telavancin,Major,Major: Heparin is an anticoagulant used to treat blood clots. Telavancin is an antibiotic used to treat bacterial infections. Taking these drugs together may cause bleeding because heparin increases the risk of bleeding from taking telavancin.
DDInter283,Cangrelor,DDInter1959,Zanubrutinib,Major,"Major: When cangrelor is taken together with zanubrutinib, there is an increased risk of bleeding. This is because cangrelor increases blood flow by blocking platelets from sticking together, while zanubrutinib blocks blood clotting."
DDInter21,Acitretin,DDInter1224,Minocycline,Major,Major: Taking acitretin together with minocycline can cause severe skin irritation and rash. This is because acitretin increases the levels of minocycline in your body.
DDInter1675,Simvastatin,DDInter812,Gemfibrozil,Major,"Major: When simvastatin and gemfibrozil are taken together, they can increase each other’s side effects. This interaction is major."
DDInter1796,Thioridazine,DDInter817,Gilteritinib,Major,Major: Thioridazine and gilteritinib should not be used together because they can cause serious side effects such as QT prolongation. This is because thioridazine slows down the heart rate and gilteritinib speeds up the heart rate. The combination of these two drugs can lead to an abnormal heart rhythm called torsades de pointes.
DDInter1244,Morphine,DDInter301,Carisoprodol,Major,"Major: When morphine and carisoprodol are taken together, they can cause serious side effects such as overdose and death. This interaction is very likely to occur because both drugs are metabolized by the same enzyme."
DDInter1640,Saquinavir,DDInter997,Ivacaftor,Major,Major: Saquinavir can increase ivacaftor levels by about 50%. This may lead to increased side effects of ivacaftor.
DDInter161,Bacitracin,DDInter964,Iopromide,Major,"Major: When bacitracin is given together with iopromide, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects. The exact mechanism for this interaction is not clear."
DDInter839,Goserelin,DDInter1917,Vandetanib,Major,"Major: Goserelin can increase levels of estrogen in your body. Vandetanib decreases levels of estrogen in your body. When these drugs are used together, they may cancel each other out and cause unexpected effects."
DDInter1244,Morphine,DDInter850,Halazepam,Major,"Major: When morphine and halazepam are taken together, they can cause serious side effects such as drowsiness, confusion, and difficulty breathing. This interaction is very likely to occur because both drugs are broken down by the same enzyme in the liver."
DDInter1524,Procainamide,DDInter1676,Siponimod,Major,"Major: When taking both procainamide and siponimod together, there is an increased risk of certain side effects such as headache, dizziness, nausea, vomiting, and diarrhea. This interaction may be due to the fact that these drugs can affect the way the body processes other medications. It is important to talk to your doctor about whether you should take these two drugs together."
DDInter923,Infliximab,DDInter1228,Mipomersen,Major,Major: The combination of infliximab and mipomersen can cause major side effects. Infliximab may not work properly when given together with mipomersen.
DDInter1526,Procarbazine,DDInter1043,Levacetylmethadol,Major,Major: Taking procarbazine together with levacetylmethadol can cause severe sleepiness and drowsiness. This may increase the risk of falling asleep while driving or operating heavy machinery.
DDInter1460,Phenytoin,DDInter1327,Olaparib,Major,"Major: Taking phenytoin together with olaparib can be dangerous. Phenytoin may increase the effects of olaparib, which could lead to an increased risk of bleeding."
DDInter1876,Trimipramine,DDInter1526,Procarbazine,Major,Major: Taking trimipramine together with procarbazine can cause severe drowsiness and sedation. This may increase the risk of falling asleep while driving or operating machinery.
DDInter1191,Methylprednisolone,DDInter1680,"Smallpox (Vaccinia) Vaccine, Live",Major,"Major: The smallpox vaccine can cause skin rashes when given together with certain medicines. This vaccine may be given to people who have already been vaccinated against smallpox but who need protection from smallpox because of a weak immune system. Methylprednisolone is one such medicine. If methylprednisolone is given within 1 month before or after the smallpox vaccine, the vaccine may not work as well."
DDInter98,Anisindione,DDInter262,Cabozantinib,Major,"Major: When anisindione is taken together with cabozantinib, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. The interaction may be caused by changes in how the body absorbs or breaks down one or both drugs. It is important to follow the prescribing information that comes with your medications for recommended doses and other instructions. If you have questions about possible drug interactions, talk to your healthcare provider or pharmacist before you take any new medication."
DDInter747,Fludrocortisone,DDInter1033,Leflunomide,Major,"Major: Fludrocortisone is a steroid hormone used to treat Addison’s disease. It can be taken as a tablet or injected into the skin. Leflunomide is an immunosuppressant used to treat rheumatoid arthritis. Taking leflunomide together with fludrocortisone increases the risk of high blood pressure. This may cause headaches, dizziness, fainting, or other symptoms. Patients should talk to their doctor or pharmacist before taking leflunomide"
DDInter1268,Natalizumab,DDInter973,Irinotecan,Major,"Major: Natalizumab and irinotecan should not be used together because they can cause serious side effects. Natalizumab decreases the way the body breaks down irinotecan, which increases the amount of irinotecan in the bloodstream. This can lead to nausea, vomiting, diarrhea, abdominal pain, and other symptoms."
DDInter1955,Zafirlukast,DDInter1043,Levacetylmethadol,Major,"Major: When levacetylmethadol is taken together with zafirlukast, there is an increased risk of side effects such as drowsiness, dizziness, and headache. This interaction is major."
DDInter1939,Vinorelbine,DDInter1640,Saquinavir,Major,"Major: When vinorelbine is taken together with saquinavir, there is an increased risk of side effects. This interaction is major."
DDInter1237,Moexipril,DDInter1495,Potassium acetate,Major,"Major: When moexipril is taken together with potassium acetate, there is an increased risk of low blood pressure. This can cause dizziness, fainting, and other symptoms."
DDInter743,Fluconazole,DDInter1327,Olaparib,Major,"Major: Fluconazole can increase the risk of bleeding when used together with olaparib. This is because fluconazole may decrease the levels of olaparib in your body. However, this interaction has not been well studied. It is important to talk to your doctor about whether these drugs should be used together."
DDInter1704,Sotalol,DDInter649,Enzalutamide,Major,"Major: When sotalol and enzalutamide are taken together, there is an increased risk of serious heart problems. This interaction is major."
DDInter898,Ibritumomab tiuxetan,DDInter117,Argatroban,Major,Major: The combination of ibritumomab tiuxetan and argatroban can cause major drug interactions. This means that the combination of these drugs can have serious side effects.
DDInter108,Apixaban,DDInter621,Edoxaban,Major,Major: The anticoagulant drugs apixaban and edoxaban should not be taken together because they can increase bleeding risk. This is a major drug–drug interaction.
DDInter392,Cladribine,DDInter1819,Tisagenlecleucel,Major,"Major: When cladribine is given together with tisagenlecleucel, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. The exact mechanism for this interaction is not clear."
DDInter165,Baricitinib,DDInter1657,Selinexor,Major,Major: Taking baricitinib together with selinexor can cause major side effects. This is because baricitinib increases the levels of selinexor in your body. The FDA recommends avoiding this combination unless you have no other choice.
DDInter1758,Telithromycin,DDInter147,Axitinib,Major,"Major: Telithromycin is an antibiotic used to treat respiratory tract infections. Axitinib is a cancer medicine used to treat kidney cancer. Taking telithromycin together with axitinib can cause serious side effects such as nausea, vomiting, diarrhea, stomach pain, and fever. These side effects may be severe enough to require hospitalization. It is recommended to stop taking telithromycin at least 7 days before starting axitinib and to avoid taking them together."
DDInter593,Doxepin,DDInter952,Iobenguane (I-131),Major,"Major: When doxepin is taken along with iodine-131 (I-131), there is an increased chance of having a severe reaction. This can be due to the fact that doxepin slows down the body’s ability to remove iodine from the bloodstream."
DDInter581,Dolasetron,DDInter1215,Mifepristone,Major,Major: Dolasetron can be used to treat nausea caused by chemotherapy. Mifepristone is used for emergency contraception. Taking mifepristone together with dolasetron may increase the risk of side effects such as vomiting.
DDInter1013,Labetalol,DDInter1676,Siponimod,Major,Major: Labetalol is used to treat high blood pressure. It can be taken by mouth or as a liquid through the nose. Siponimod is used to treat multiple sclerosis. It is taken by mouth. Taking labetalol and siponimod together may cause a drop in blood pressure. This can be serious. People taking both drugs should talk to their doctor or pharmacist before taking them together.
DDInter1366,Oxycodone,DDInter393,Clarithromycin,Major,"Major: Taking oxycodone together with clarithromycin can be dangerous. This is because clarithromycin slows down the way the body breaks down oxycodone. This can cause oxycodone to build up in the body, which could lead to overdose and serious side effects."
DDInter1389,Papaverine,DDInter594,Doxepin (topical),Major,Major: Papaverine can cause major side effects when taken together with doxepin. This combination should be avoided.
DDInter1902,Uracil mustard,DDInter1953,Yellow Fever Vaccine,Major,Major: The uracil mustard drug can cause severe skin reactions when given together with yellow fever vaccine. This combination should be avoided.
DDInter93,Anagrelide,DDInter142,Avapritinib,Major,"Major: When anagrelide is taken together with avapritinib, there is a major drug interaction. This means that the combination of these drugs can cause serious side effects or make the drugs less effective. In this case, taking anagrelide together with avapritinib may increase the risk of bleeding. Therefore, it is recommended to avoid taking anagrelide together with avapritinib unless specifically advised by a healthcare professional."
DDInter379,Cilostazol,DDInter108,Apixaban,Major,Major: Cilostazol and apixaban should not be used together because they can increase the risk of bleeding. This is because cilostazol slows down blood clotting while apixaban helps to speed up blood clotting.
DDInter1033,Leflunomide,DDInter719,Fenofibric acid,Major,Major: Leflunomide is used to treat rheumatoid arthritis. It is metabolized by an enzyme called CYP1A2. Fenofibrate is used to treat high cholesterol. It is also metabolized by CYP1A2. Taking both drugs together can increase the amount of leflunomide in your body. This can cause serious side effects.
DDInter1712,Streptokinase,DDInter1566,Ramucirumab,Major,"Major: When streptokinase is given together with ramucirumab, there is an increased risk of bleeding. This is because streptokinase increases the body’s ability to break down blood clots, while ramucirumab can increase bleeding."
DDInter1730,Sumatriptan,DDInter518,Dexfenfluramine,Major,"Major: When sumatriptan is taken together with dexfenfluramine, there is an increased risk of serious heart problems. This interaction is major."
DDInter1822,Tobramycin,DDInter960,Iohexol,Major,Major: The antibiotic tobramycin can cause kidney damage when taken together with the dye iohexol. This combination should be avoided unless specifically recommended by a doctor.
DDInter300,Cariprazine,DDInter424,Cobicistat,Major,Major: Cobicistat can increase the levels of cariprazine in your body by about two times. This may cause increased side effects.
DDInter413,Clopidogrel,DDInter1891,Tucatinib,Major,Major: Taking clopidogrel together with tucatinib can be dangerous. This is because taking them together may increase the risk of bleeding. This is because clopidogrel and tucatinib both affect how the body processes blood thinners.
DDInter1261,Naloxegol,DDInter714,Fedratinib,Major,"Major: Naloxegol and fedratinib should not be used together because naloxegol can make fedratinib less effective. Fedratinib works by blocking the action of certain proteins in the body. Naloxegol also blocks these same proteins. Therefore, when taken together, naloxegol may reduce the amount of fedratinib that reaches the body. This can decrease the effectiveness of fedratinib."
DDInter974,Irinotecan (liposomal),DDInter221,Boceprevir,Major,Major: Irinotecan (liposomal) is used to treat cancer. Boceprevir is an antiviral drug used to treat hepatitis C. Taking irinotecan (liposomal) together with boceprevir can cause serious side effects such as diarrhea and vomiting.
DDInter241,Bromfenac,DDInter621,Edoxaban,Major,Major: Taking bromfenac together with edoxaban can cause major side effects. Bromfenac may increase the risk of bleeding caused by edoxaban. This interaction should be avoided.
DDInter493,Degarelix,DDInter170,Bedaquiline,Major,"Major: Degarelix can increase levels of bedaquiline in your body by about two times. This may increase side effects of bedaquiline such as nausea, vomiting, diarrhea, headache, dizziness, sleep disturbances, and abnormal dreams."
